"ENSEMBL","SYMBOL","sexBias","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000001948","Spa17","Sperm-biased",34.0224635620817,0.917848953095334,0.394472445619619,0.000274000912038378,0.00324225333688354
"ENSMUSG00000002076","Hsf2bp","unbiased",1344.64857346223,3.42629554868458,0.215685524391908,2.69097027774108e-59,1.26447277050907e-56
"ENSMUSG00000005493","Msh4","unbiased",12.935572730774,2.26748831302082,1.02175643429767,8.69449000277551e-05,0.00121951500272768
"ENSMUSG00000009596","Taf7l","unbiased",192.967201782017,2.87624219331174,0.243257177000441,1.23423052546098e-34,3.14834575180446e-32
"ENSMUSG00000009628","Tex15","unbiased",1280.23485644576,0.847171922474426,0.185483115066166,1.4723110033386e-07,4.01981426232631e-06
"ENSMUSG00000010342","Tex14","unbiased",748.111228754191,3.76822115137874,0.288642922195241,6.07859150855733e-41,1.83964966062372e-38
"ENSMUSG00000010592","Dazl","unbiased",678.773662315058,3.21121420759265,0.316403870025749,9.92084716205037e-27,1.62519859564744e-24
"ENSMUSG00000010760","Phlda2","Egg-biased",342.060457740409,0.771641529433429,0.397524545326772,0.000766531671655218,0.00777239609828256
"ENSMUSG00000018509","Cenpv","Sperm-biased",801.777742627638,1.02180244084532,0.154805008558066,3.16953325515007e-12,1.75217293510711e-10
"ENSMUSG00000019892","Lrriq1","Sperm-biased",50.0333181159031,1.02124234223826,0.358336456346732,7.28725135596084e-05,0.00104096928169629
"ENSMUSG00000020059","Sycp3","unbiased",217.150303913767,2.11205787243999,0.33292710845132,8.59613708094951e-12,4.51448893286572e-10
"ENSMUSG00000020434","4921536K21Rik","Sperm-biased",19.2283483106442,0.991479484959454,0.510617736243721,0.000608683513414705,0.00637831738000762
"ENSMUSG00000021758","Ddx4","unbiased",626.600505159901,1.99343281066449,0.198430456322478,5.67138901023537e-25,8.50994303922376e-23
"ENSMUSG00000021953","Tdh","unbiased",3500.81001837408,2.11492705211238,0.237696364314508,2.65566107467591e-20,3.02034930887981e-18
