"ENSEMBL","SYMBOL","sexBias","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000002076","Hsf2bp","unbiased",1344.64857346223,3.32616983181015,0.162149266969969,6.61878874443896e-95,5.20660397792547e-92
"ENSMUSG00000002228","Ppm1j","Sperm-biased",114.73961136361,0.659685529340724,0.299079206389595,0.000793737490621469,0.00525577154564371
"ENSMUSG00000005131","4930550C14Rik","Sperm-biased",17.9205243436696,1.34572121656192,0.3835058262193,1.6752820199827e-05,0.00019043986245653
"ENSMUSG00000005493","Msh4","unbiased",12.935572730774,4.82510090346256,1.34610535966162,2.85648959342504e-06,3.96161666743983e-05
"ENSMUSG00000006056","Calcoco2","Egg-biased",365.480236538355,1.5857525090809,0.321882530512899,4.52339253027042e-08,9.31487303668042e-07
"ENSMUSG00000006200","Rhox6","Egg-biased",53.736145759018,0.771463046293072,0.676343599443434,0.00896565200721976,0.0380735289082237
"ENSMUSG00000007888","Crlf1","Sperm-biased",347.284645381431,1.81543660735534,0.315663227246468,2.30703544980493e-10,7.27085883908072e-09
"ENSMUSG00000009596","Taf7l","unbiased",192.967201782017,4.88030735702661,0.351838091967748,1.07663984560922e-44,3.71459635153525e-42
"ENSMUSG00000009628","Tex15","unbiased",1280.23485644576,2.42582147558559,0.183858274028657,3.86451261380376e-42,1.20634135020738e-39
"ENSMUSG00000009670","Tex11","unbiased",108.774601079566,3.11296665995628,0.449595344783287,5.47668509317832e-14,2.78306173236292e-12
"ENSMUSG00000010342","Tex14","unbiased",748.111228754191,4.62289035362076,0.268203063116839,1.8130865570734e-67,9.14260518753987e-65
"ENSMUSG00000010592","Dazl","unbiased",678.773662315058,4.54904933625787,0.368748660774089,6.95859446533506e-36,1.55508771312817e-33
"ENSMUSG00000010796","Asz1","unbiased",6.18647518951119,1.49816043963989,1.58089100021694,0.0027941558324771,0.0147953334952867
"ENSMUSG00000011349","Dmrtc2","unbiased",20.7778004162517,2.77010596050945,0.629868602748829,7.31685491472295e-08,1.45053698339659e-06
"ENSMUSG00000018509","Cenpv","Sperm-biased",801.777742627638,0.595190798716427,0.161308949811463,4.17866545852004e-06,5.59412082418347e-05
"ENSMUSG00000018727","Cpsf4l","unbiased",103.785050454244,1.15171917173036,0.650356688558809,0.00130705569088965,0.00790423038654241
"ENSMUSG00000019732","Calr3","Sperm-biased",48.0082842726216,1.24181211054944,0.303364714329492,2.67701956813755e-06,3.73908145078075e-05
"ENSMUSG00000019892","Lrriq1","Sperm-biased",50.0333181159031,0.601637674478315,0.316456947963759,0.00213878922571829,0.0118650011038014
"ENSMUSG00000020059","Sycp3","unbiased",217.150303913767,2.32056197829724,0.293250325193886,1.30122292565893e-17,9.17198926738659e-16
"ENSMUSG00000020419","Hormad2","unbiased",57.2298861916088,3.79778727774495,0.567722782200415,9.40115522358589e-13,4.17343382905282e-11
"ENSMUSG00000020562","Efcab10","Sperm-biased",6.89091272184775,0.750524964555638,0.675602806614297,0.00992447354029672,0.0411380478173589
"ENSMUSG00000020639","Pfn4","Sperm-biased",14.609339516862,0.93134508192924,0.454822265575951,0.000991982167631655,0.0063359276741293
"ENSMUSG00000020712","Tcam1","Sperm-biased",13.4219961980046,2.26908891453923,0.695848001437118,7.65567749250211e-06,9.58958939920678e-05
"ENSMUSG00000020878","Lrrc46","Sperm-biased",6.6405741339658,0.951166435429307,0.781275351334854,0.0051000239093157,0.0241679687230368
"ENSMUSG00000021078","Tomm20l","Sperm-biased",10.233809962502,2.46213604012847,0.708796779807857,3.25330657283844e-06,4.45229833412949e-05
"ENSMUSG00000021257","Angel1","Sperm-biased",230.763917349374,0.662513057862838,0.223624830203869,6.60709157070078e-05,0.000633520540367633
"ENSMUSG00000021758","Ddx4","unbiased",626.600505159901,2.39673704995646,0.195289481847104,5.25368897981654e-37,1.25998838386673e-34
"ENSMUSG00000021791","Dydc2","Sperm-biased",4.23991740536098,1.13120138977567,0.983643952202115,0.00380711119603084,0.0190462093058109
"ENSMUSG00000021953","Tdh","unbiased",3500.81001837408,1.89359702690209,0.261913021466793,8.99161232984112e-15,4.89831158112619e-13
"ENSMUSG00000022039","Adam2","Sperm-biased",3.30953752416713,2.05572464057864,1.21913823807232,0.000441577625191118,0.00321275086089846
"ENSMUSG00000022113","Trim52","Sperm-biased",29.8521334442461,4.86463596576035,0.990467068439411,3.19901846229207e-08,6.86062127365713e-07
"ENSMUSG00000022429","Dmc1","unbiased",507.386419529687,0.98138943770334,0.221202718942096,5.10555313072369e-07,8.40919663892899e-06
"ENSMUSG00000022432","Smc1b","unbiased",375.720388555464,3.2927578308172,0.472227351371523,5.72258700188934e-14,2.90052566956587e-12
"ENSMUSG00000022652","Morc1","Sperm-biased",1147.73492311792,4.49801040334842,0.480675979991438,8.63021431389899e-22,8.42284736676346e-20
"ENSMUSG00000023403","Stk31","unbiased",77.6526523469021,3.9824979375737,0.714478640066997,8.78806893077376e-10,2.50472700858836e-08
"ENSMUSG00000023443","Esx1","unbiased",18.1200937166305,0.746234497807843,0.548976730110485,0.00642024643707068,0.029132571857737
"ENSMUSG00000024206","Rfx2","Sperm-biased",338.317567096194,0.505480308311758,0.24430148045872,0.00175708516301847,0.0100772344170082
"ENSMUSG00000025081","Tdrd1","Sperm-biased",193.601392894745,0.971410586046821,0.23178950031578,1.33444768486225e-06,2.00483179301001e-05
"ENSMUSG00000025480","Syce1","unbiased",175.453080201777,1.5540096449004,0.288232435901808,4.67402824903953e-09,1.19531130748519e-07
