"ENSEMBL","SYMBOL","sexBias","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000002076","Hsf2bp","unbiased",1344.64857346223,0.679802031390194,0.136259682312639,9.16932805153138e-09,3.59928154613605e-07
"ENSMUSG00000005131","4930550C14Rik","Sperm-biased",17.9205243436696,0.582958438537301,0.4718933983458,0.00568570636689413,0.0401634703345331
"ENSMUSG00000005493","Msh4","unbiased",12.935572730774,0.504813904748386,0.528750998245817,0.0116113824376189,0.069746318576119
"ENSMUSG00000007888","Crlf1","Sperm-biased",347.284645381431,1.23968106189821,0.315065115134276,2.92929050413944e-06,6.73771076659723e-05
"ENSMUSG00000009596","Taf7l","unbiased",192.967201782017,1.16645649989438,0.176333863087013,4.75927973470461e-12,3.00951753256273e-10
"ENSMUSG00000009628","Tex15","unbiased",1280.23485644576,1.7390080202126,0.171135417194007,4.88491530905653e-26,8.89506893221349e-24
"ENSMUSG00000010342","Tex14","unbiased",748.111228754191,1.77205106326765,0.171475096970488,6.91931623440699e-27,1.32111915597911e-24
"ENSMUSG00000010592","Dazl","unbiased",678.773662315058,2.75670499491158,0.219860282310713,4.3698592296345e-39,1.28265151656705e-36
"ENSMUSG00000011349","Dmrtc2","unbiased",20.7778004162517,0.638680971800623,0.490265932538859,0.0042526509383792,0.0320923382019053
"ENSMUSG00000020712","Tcam1","Sperm-biased",13.4219961980046,1.01690311381965,0.655541023138897,0.00102704976768465,0.0105252531168767
"ENSMUSG00000021953","Tdh","unbiased",3500.81001837408,0.921655922452453,0.251372457779147,6.43838481712274e-06,0.000136515269400397
"ENSMUSG00000022113","Trim52","Sperm-biased",29.8521334442461,0.663321256093422,0.596394434021576,0.00523747795221103,0.0376259810666831
"ENSMUSG00000022432","Smc1b","unbiased",375.720388555464,2.70645840234543,0.508816029486866,1.39401183166695e-10,7.25254938665668e-09
"ENSMUSG00000022652","Morc1","Sperm-biased",1147.73492311792,1.76355569645238,0.143777834521707,2.04600049503536e-36,5.43738455883317e-34
"ENSMUSG00000022768","Ccdc116","Sperm-biased",111.073521217622,0.705500355259708,0.330039288866786,0.00053888951348279,0.00622301889145775
"ENSMUSG00000023403","Stk31","unbiased",77.6526523469021,1.21037664598146,0.260744376865242,2.09707182336509e-07,6.25812055816355e-06
"ENSMUSG00000023443","Esx1","unbiased",18.1200937166305,0.737086202444817,0.613939093773035,0.00367079045157637,0.0287379637821262
"ENSMUSG00000023931","Efhb","Sperm-biased",30.354144693901,0.534415908703325,0.485589630459596,0.00847076617886245,0.0549426410532681
"ENSMUSG00000025519","Tktl2","Sperm-biased",22.5884268863933,0.608487101160036,0.489383718095139,0.00518115161893059,0.0374604881389298
"ENSMUSG00000025977","Boll","Sperm-biased",47.3896948633221,1.02210885232289,0.226518819587889,3.3376745774649e-07,9.58229317378464e-06
"ENSMUSG00000027794","Sohlh2","unbiased",775.181727489417,1.87520037572877,0.316118386847613,2.36696942025922e-11,1.36506805333776e-09
"ENSMUSG00000027855","Sycp1","unbiased",297.206240052919,3.12086670432222,0.385677697164896,2.3522226628963e-18,2.72110652285404e-16
"ENSMUSG00000027939","Nup210l","Sperm-biased",26.8581964999888,1.20959353510225,0.37600849366052,2.47003727100002e-05,0.000443209424922321
"ENSMUSG00000028109","Hormad1","unbiased",448.335840959251,1.66237448812936,0.166456020244389,4.23711472650618e-25,7.2458346270844e-23
"ENSMUSG00000028758","Kif17","Sperm-biased",14.5848003264798,1.0113934722164,0.627683352063845,0.000954725726096243,0.00992369774281644
"ENSMUSG00000028845","Tekt2","Sperm-biased",50.4464821672763,0.781130972897781,0.320060885480975,0.000228976346437274,0.0030161077220599
"ENSMUSG00000030491","Tdrd12","Sperm-biased",1604.46784080388,2.82623259916469,0.158182843072145,2.6212724610518e-74,1.77758428341534e-71
"ENSMUSG00000032010","Usp2","Sperm-biased",133.589625765339,0.803479711159,0.186150234077732,3.81973822959059e-07,1.07159731844691e-05
"ENSMUSG00000032493","Prss44","Sperm-biased",17.7683829779684,1.16889361659035,0.36631294489895,2.76645550501375e-05,0.000490136161816219
"ENSMUSG00000032892","Rangrf","Sperm-biased",902.569312761212,0.643479122941281,0.135222017980175,2.72307293782499e-08,9.93542716053177e-07
"ENSMUSG00000033276","Stk36","Sperm-biased",75.6567323897149,0.521753873903048,0.324795541806867,0.00297308334167278,0.0242910913989767
"ENSMUSG00000033794","Lpcat2b","Sperm-biased",4.96426362293216,2.62866990932808,2.11429317942718,0.000248187213987955,0.00322807523167138
"ENSMUSG00000034151","Zbbx","Sperm-biased",26.3687158257371,3.27519095998325,0.498208145550757,2.82411684709988e-13,2.02697379252066e-11
"ENSMUSG00000036928","Stag3","unbiased",1211.59370817461,0.74323889568685,0.142352255722647,3.68019947487532e-09,1.54647014685679e-07
"ENSMUSG00000037108","Zcwpw1","unbiased",1109.73249512646,1.64790577231862,0.0984122682455358,1.66164313012632e-64,9.61113935207773e-62
"ENSMUSG00000037418","Best1","Sperm-biased",13.2120577743374,0.599025026237427,0.506544637985954,0.00592993341728761,0.0414107447641153
"ENSMUSG00000037716","Ccdc33","unbiased",17.0615456032541,1.23024600994806,0.580493527256707,0.000249810221138092,0.00324703754719214
"ENSMUSG00000037752","Xkr8","Sperm-biased",150.987423819926,0.620035689956813,0.213480421316068,6.07142254268811e-05,0.000960584036399874
"ENSMUSG00000038347","Tcte2","Sperm-biased",50.0184620914875,0.830265809556214,0.392009573538494,0.000497753018167054,0.00582667312813886
"ENSMUSG00000039110","Mycbpap","Sperm-biased",23.9582607565796,0.696189923819517,0.569378970959069,0.00407540498024078,0.0310646954811687
"ENSMUSG00000039209","Rpl39l","Sperm-biased",109.028929239597,1.27193645983198,0.153670553831391,1.49422396972228e-17,1.64164293790829e-15
"ENSMUSG00000039224","D1Pas1","Sperm-biased",809.029008954101,1.7340814152875,0.18190224428951,2.58631057136428e-23,4.00491210208268e-21
"ENSMUSG00000039329","Tex19.1","unbiased",422.49361705999,1.01710365938728,0.255897822001972,2.572162576357e-06,5.97215457221214e-05
"ENSMUSG00000040629","Mael","Sperm-biased",344.316896159778,0.962494582595088,0.230117031584518,1.09400566603865e-06,2.74422390667296e-05
"ENSMUSG00000044122","Proca1","Sperm-biased",32.2382691552868,0.638415058108357,0.494056525679781,0.00433915771974397,0.032545337801863
"ENSMUSG00000045257","Morn2","Sperm-biased",53.0418994196989,2.11357409703925,0.346574304384454,2.91040246377783e-12,1.89523095538592e-10
"ENSMUSG00000045631","Tmprss12","Sperm-biased",13.530890508456,1.77811356906605,0.54521503419021,6.09457549767127e-06,0.000130278175801308
"ENSMUSG00000046000","Naa11","Sperm-biased",167.408318744205,2.74492058126287,0.188453847314378,4.13266881065561e-51,1.67037319183143e-48
"ENSMUSG00000046192","Iqub","Sperm-biased",11.1771079407557,2.65312491987653,0.613451982210299,2.39230035804926e-08,8.77742142563371e-07
