"ENSEMBL","baseMean","log2FoldChange","lfcSE","pvalue","padj","Direction","SYMBOL"
"ENSMUSG00000060938",6291.03162574803,-1.41779452135947,0.118305863188609,7.0379610639661e-34,1.28515705230206e-31,"Down","Rpl26"
"ENSMUSG00000075592",826.686997166072,-1.41934315653139,0.284699352460316,5.82102220337118e-08,1.18222744529189e-06,"Down","Nynrin"
"ENSMUSG00000030492",7.01284885069572,-1.42618166471544,0.60696145478688,0.00029189313282601,0.00247547360219682,"Down","Slc7a9"
"ENSMUSG00000054135",12.2205860792616,-1.42622532136038,1.30871260045963,0.00196234702942159,0.0125794103779524,"Down",NA
"ENSMUSG00000036687",131.343239501336,-1.42980104910421,0.338580938041852,1.5740132396221e-06,2.40600862397439e-05,"Down","Tmem184a"
"ENSMUSG00000017724",1009.88428293766,-1.43396181216315,0.316823712621289,4.59652005139069e-07,7.94939120491791e-06,"Down","Etv4"
"ENSMUSG00000063897",495.809583877138,-1.44087655080395,0.1723913783758,9.15506431733199e-18,6.10407890289481e-16,"Down",NA
"ENSMUSG00000063531",1437.37760214672,-1.44257114671943,0.37730011690409,6.49083402850399e-06,8.6440679976181e-05,"Down","Sema3e"
"ENSMUSG00000099474",415.725551915375,-1.4433171547991,0.205440302098047,2.81259640200603e-13,1.18030054807992e-11,"Down","1700097N02Rik"
"ENSMUSG00000029420",32.9747618046573,-1.4443563028722,0.508247440221814,9.92040428276007e-05,0.00096904421401091,"Down","Rimbp2"
"ENSMUSG00000061186",756.969811358434,-1.44555591191176,0.229591670661457,3.70182895576646e-11,1.18347588492792e-09,"Down","Sfmbt2"
"ENSMUSG00000085042",107.829735643075,-1.44564067476699,0.267839409469004,6.9455945980398e-09,1.61816387250194e-07,"Down",NA
"ENSMUSG00000061577",16.1383976330269,-1.44816033245157,0.531618673227828,0.000128772722301814,0.0012112177161093,"Down","Adgrg5"
"ENSMUSG00000033998",2909.23257476465,-1.44967641467506,0.154959471752154,1.21710532956388e-21,1.11626732691992e-19,"Down","Kcnk1"
"ENSMUSG00000024575",11.9323580029925,-1.45129997434372,1.52979007531931,0.00216146042314847,0.0136311889597997,"Down","Pde6a"
"ENSMUSG00000013523",121.296587009561,-1.45326306552676,0.301964786203845,1.25898878354465e-07,2.41423307981708e-06,"Down","Bcas1"
"ENSMUSG00000038521",82.1440234855674,-1.45880675939941,0.209586406614129,4.31893770631321e-13,1.75431960659844e-11,"Down","C1s1"
"ENSMUSG00000018581",14.1610801265889,-1.45897689638189,1.62030333953369,0.00222076922333228,0.0139606687617724,"Down","Dnah11"
"ENSMUSG00000034701",277.605070879364,-1.45963628451855,0.207000670493498,2.26899288392235e-13,9.54153874776391e-12,"Down","Neurod1"
"ENSMUSG00000023827",708.254402009158,-1.46236065610254,0.175989052422567,1.31866079020306e-17,8.64981733224138e-16,"Down","Agpat4"
"ENSMUSG00000036273",173.947464735105,-1.46606850109225,0.261533883446137,2.16459948577946e-09,5.5118425850834e-08,"Down","Lrrk2"
"ENSMUSG00000057716",22.3722661181954,-1.46635528379107,1.12855123884249,0.00143965266152479,0.00976583661192968,"Down","Tmem178b"
"ENSMUSG00000097961",29.2938040160169,-1.47302918720734,0.307844518087182,1.38998811357715e-07,2.64541493653476e-06,"Down",NA
"ENSMUSG00000018238",3.7166832096257,-1.47597915736867,0.886838600329599,0.000865721982980017,0.00637852376336676,"Down","Gdf9"
"ENSMUSG00000022454",153.752252484618,-1.47683636537119,0.420147590641528,1.63243247379203e-05,0.000198486945478648,"Down","Nell2"
"ENSMUSG00000103520",19.0086313644314,-1.47835668984828,0.627092653795225,0.000262475619785593,0.00226388014358901,"Down",NA
"ENSMUSG00000023411",546.11057837585,-1.47841837171781,0.213515692494956,5.34960101879478e-13,2.13446974507778e-11,"Down","Nfatc4"
"ENSMUSG00000055980",219.520860013971,-1.48170471600695,0.353324227237841,1.64693449077724e-06,2.51179196339834e-05,"Down","Irs1"
"ENSMUSG00000090363",81.7360865818201,-1.48182502092157,0.357025543159674,1.93845185296172e-06,2.90180802124675e-05,"Down",NA
"ENSMUSG00000023169",4721.80236357435,-1.48619008955082,0.101064389525819,8.43432231570602e-50,2.84925465028409e-47,"Down","Slc38a1"
"ENSMUSG00000046223",212.722283053,-1.48678817194888,0.357331961874578,1.85137484027329e-06,2.78379203542279e-05,"Down","Plaur"
"ENSMUSG00000039198",25.2440603608577,-1.48760028925242,0.296658649621821,4.58419921529773e-08,9.43321156293093e-07,"Down","Ptchd3"
"ENSMUSG00000033722",94.9771161221993,-1.49394763557431,0.568984357914559,0.000147982299069795,0.00136898823361281,"Down","BC034090"
"ENSMUSG00000005107",3.23784555853128,-1.49892645827614,1.32246890492075,0.00165460806391657,0.0109420068018026,"Down","Slc2a9"
"ENSMUSG00000022037",778.098010336447,-1.50184837189929,0.220144033493203,1.03179396261768e-12,3.97593760994252e-11,"Down","Clu"
"ENSMUSG00000023764",738.770865733683,-1.50459614418103,0.261050472174883,8.25143540164514e-10,2.21227968460245e-08,"Down","Sfi1"
"ENSMUSG00000089756",651.558535744535,-1.50725917230786,0.178758627632047,4.22392593682135e-18,2.91206649025279e-16,"Down","Zfp966"
"ENSMUSG00000040601",23.8852749650764,-1.50975446214421,0.504596604722735,6.28487736702993e-05,0.000650936021217831,"Down","Nlrp4a"
"ENSMUSG00000038248",26.1540805216733,-1.5105998424159,0.533223528619204,9.11583020016853e-05,0.000900432564947446,"Down","Sobp"
"ENSMUSG00000052374",93.9998893736583,-1.5107092296305,0.314183741591445,1.17425706257519e-07,2.26676346679396e-06,"Down","Actn2"
"ENSMUSG00000108348",73.5541289791841,-1.51284652634678,0.515232901650866,7.14504367898524e-05,0.000729277008741579,"Down","Pnma8c"
"ENSMUSG00000038807",157.878437813169,-1.51376834222446,0.175532056424818,7.95275425551153e-19,5.86161367290775e-17,"Down","Rap1gap2"
"ENSMUSG00000113911",95.9346963828292,-1.51537236845062,0.176064997411678,9.18264847732202e-19,6.71924555909169e-17,"Down","Gm21930"
