"ENSEMBL","baseMean","log2FoldChange","lfcSE","pvalue","padj","Direction","SYMBOL"
"ENSMUSG00000036473",517.894501777526,0.58986535284073,0.127252796614588,7.49419924524156e-07,8.25731536226794e-06,"Up","Tbc1d24"
"ENSMUSG00000037674",2187.23445739027,0.589737507376289,0.110552937466846,2.02167882133687e-08,3.02575384523126e-07,"Up","Rfx7"
"ENSMUSG00000024424",150.107503437399,0.589696304944589,0.193431953522544,0.000478823346708585,0.00266223092908364,"Up","Ttc39c"
"ENSMUSG00000020375",193.040016964675,0.589610393414168,0.203917853967037,0.000798203976737233,0.00414066559794382,"Up","Rufy1"
"ENSMUSG00000036315",332.522079199752,0.589067822215869,0.171310647233974,0.000122478729399348,0.000797160901767685,"Up","Polr1h"
"ENSMUSG00000032264",757.285045004352,0.588656268511903,0.10258415917638,2.0296300336585e-09,3.6012622983654e-08,"Up","Zw10"
"ENSMUSG00000032612",1573.76452700401,0.588342125082219,0.0937800847801303,7.50340437350302e-11,1.68223050517671e-09,"Up","Usp4"
"ENSMUSG00000005262",646.276400774094,0.588222813872098,0.0887702785501995,7.32821834672164e-12,1.91368624679502e-10,"Up","Ufd1"
"ENSMUSG00000024687",453.32219926696,0.587808512381618,0.138564430562332,4.69096076227555e-06,4.37733562652046e-05,"Up","Osbp"
"ENSMUSG00000001025",259.573051091093,0.58771522728448,0.233793492297667,0.00250127785221874,0.0111721595547725,"Up","S100a6"
"ENSMUSG00000019715",558.299298341528,0.587638213859914,0.129577451687403,1.22313311985214e-06,1.29526879001609e-05,"Up","Gle1"
"ENSMUSG00000032382",581.520912449146,0.587250327548157,0.177231623236815,0.00019425488766081,0.00119670017168506,"Up","Snx1"
"ENSMUSG00000027746",422.1157102353,0.587064905172625,0.0963407394741728,2.36172529772017e-10,4.9061968300879e-09,"Up","Ufm1"
"ENSMUSG00000021018",805.471047720019,0.586952731434746,0.149061837412332,1.74627184960858e-05,0.00014090589818212,"Up","Polr2h"
"ENSMUSG00000029346",110.375415460188,0.586783027156002,0.21997622690157,0.001606597033587,0.00760207396902718,"Up","Srrd"
"ENSMUSG00000009670",223.365000222269,0.586770658823551,0.194381630835336,0.000534902703175933,0.00293693460051043,"Up","Tex11"
"ENSMUSG00000024970",719.697006018496,0.58660342055758,0.178404687209168,0.00021318733521786,0.00130198730843358,"Up","Spindoc"
"ENSMUSG00000031578",2242.61958642258,0.586245146041562,0.177185996783971,0.000198441502665933,0.00121890989887803,"Up","Mak16"
"ENSMUSG00000025351",2398.84256119717,0.586172726778612,0.132954153742128,2.2201942126736e-06,2.22605372740697e-05,"Up","Cd63"
"ENSMUSG00000037885",1163.48007928355,0.586089817955042,0.190315219773198,0.00043814009172755,0.0024644295396473,"Up","Stk35"
"ENSMUSG00000022765",380.393690210285,0.585530173518598,0.144504728233341,1.08543708249837e-05,9.2140883406573e-05,"Up","Snap29"
"ENSMUSG00000041084",1214.50968806457,0.585450677513445,0.0896616598334001,1.42357556182066e-11,3.58257904319169e-10,"Up","Ostc"
"ENSMUSG00000050619",153.3566334899,0.585192565220549,0.146153581731816,1.33281486465372e-05,0.000110700672780597,"Up","Zscan29"
"ENSMUSG00000032116",4252.30975140833,0.584313312748383,0.105842173545493,7.31267894290363e-09,1.17839933250172e-07,"Up","Stt3a"
"ENSMUSG00000027395",1318.66159244791,0.583995387069715,0.19840482139196,0.000690989055107309,0.00366129145305521,"Up","Polr1b"
"ENSMUSG00000009596",366.504502970928,0.583967827095156,0.144161328093481,1.0984216030362e-05,9.31860701040159e-05,"Up","Taf7l"
"ENSMUSG00000041805",62.8810392009578,0.583656196494695,0.270832423693161,0.00663214274361198,0.025727964010154,"Up","Pramel1"
"ENSMUSG00000057375",249.20273990478,0.583582718566067,0.135935272878846,3.80500692452836e-06,3.61384441910771e-05,"Up","Yipf1"
"ENSMUSG00000093606",31.48624728293,0.58347629097991,0.37076226346497,0.0245156786887747,0.0758301714338378,"Up","B130034C11Rik"
"ENSMUSG00000040234",1243.26105356339,0.583407039135911,0.14697272947328,1.55268466372942e-05,0.000126798008772697,"Up","Tm7sf3"
"ENSMUSG00000067818",459.096018781642,0.583043051578392,0.3190676968504,0.0144451370489819,0.0491482009298755,"Up","Myl9"
"ENSMUSG00000000420",1510.99685805136,0.58296488359728,0.0946269298354703,1.5808251809203e-10,3.38018695007422e-09,"Up","Galnt1"
"ENSMUSG00000005204",2098.54199650149,0.582876187688516,0.157000958218774,4.42249139373769e-05,0.000323441333920167,"Up","Senp3"
"ENSMUSG00000045817",1113.79292683131,0.582454220650055,0.212279975661392,0.00129888464169828,0.00634266418693235,"Up","Zfp36l2"
"ENSMUSG00000052748",740.805189161779,0.581983972925678,0.147754550030928,1.77538918908042e-05,0.000142922694864346,"Up","Swt1"
"ENSMUSG00000034263",402.939702836308,0.581840951239826,0.120954162403978,3.28823282162266e-07,3.91552429549425e-06,"Up","Ints14"
"ENSMUSG00000052906",298.293115849839,0.581735268823991,0.196991275023337,0.000675884166514216,0.00359292612419758,"Up","Ubxn8"
"ENSMUSG00000072623",76.2223620152957,0.581268243804753,0.335672576393789,0.0178928767319929,0.0585444962728124,"Up","Zfp9"
"ENSMUSG00000027787",1981.88411842196,0.581163905281846,0.107663023565167,1.47981982320909e-08,2.2673946495612e-07,"Up","Nmd3"
"ENSMUSG00000008496",134.527623875949,0.581101860447813,0.253611079793139,0.00471298669163746,0.0192044166792803,"Up","Pou2f2"
"ENSMUSG00000000776",724.838315093805,0.5810949538056,0.148176873022646,1.91433064162654e-05,0.000153129886600025,"Up","Polr3d"
"ENSMUSG00000048406",35.1942067057363,0.580718170335216,0.271513262926463,0.00698223018230155,0.0268271251933733,"Up",NA
"ENSMUSG00000032322",53.1360594582747,0.580609078939387,0.240660335035448,0.00340787266946283,0.0145467958661248,"Up","Pstpip1"
"ENSMUSG00000014550",532.137282004048,0.580570868114789,0.107373371359335,1.41102993143824e-08,2.1727980615534e-07,"Up","Rbsn"
"ENSMUSG00000102577",45.8253775529827,0.580178750526127,0.305713381013935,0.0124535718632509,0.0433724611934621,"Up",NA
"ENSMUSG00000028519",186.959958364272,0.580110148756201,0.323588993999656,0.0157510503865807,0.05274376725079,"Up","Dab1"
"ENSMUSG00000054237",448.697946198895,0.579631408106086,0.1897192578591,0.00048780962545935,0.00270785114949242,"Up","Fra10ac1"
