"ENSEMBL","baseMean","log2FoldChange","lfcSE","pvalue","padj","Direction","SYMBOL"
"ENSMUSG00000031016",1033.30864709462,0.604384857700813,0.159298927203373,3.9741353932671e-05,0.000256075039176293,"Up","Wee1"
"ENSMUSG00000075706",4623.75779966548,0.604210273613355,0.107043684580011,4.50401760671381e-09,6.07538522796664e-08,"Up","Gpx4"
"ENSMUSG00000037791",1127.07481192657,0.603958926095891,0.164974571829958,6.73844742927451e-05,0.000410990460866659,"Up","Phf12"
"ENSMUSG00000047044",834.222883264482,0.603862208816155,0.142803734486498,6.33698883939042e-06,4.88855942928552e-05,"Up","D030056L22Rik"
"ENSMUSG00000011254",540.099584397011,0.602812920322148,0.202224384147004,0.000768254813507164,0.00356944391740562,"Up","Thg1l"
"ENSMUSG00000050132",79.6751575107589,0.602750842997788,0.215767264958215,0.00139119543115087,0.00598634955657206,"Up","Sarm1"
"ENSMUSG00000029436",151.219140256365,0.602660521543142,0.185406062544478,0.000308927849646589,0.00160440001015896,"Up","Mmp17"
"ENSMUSG00000023072",481.91949260487,0.602605585842655,0.0998659381641461,4.37218177029615e-10,6.8660088921644e-09,"Up","Cep89"
"ENSMUSG00000095115",429.788269473326,0.602568191867713,0.0987332669518875,2.84939628677719e-10,4.59432018727859e-09,"Up","Itpripl2"
"ENSMUSG00000062794",383.738802161378,0.602548016962223,0.128776179418716,7.82275219514668e-07,7.18134348321758e-06,"Up","Zfp599"
"ENSMUSG00000113569",119.526101048992,0.602524599198834,0.264138368269664,0.00597659556723833,0.0210154589661748,"Up",NA
"ENSMUSG00000028345",2936.59876240267,0.602093890015677,0.130621788607906,1.09659680755975e-06,9.74741002053031e-06,"Up","Tex10"
"ENSMUSG00000024592",133.957286257541,0.601677266106092,0.187881733024638,0.000366340668029519,0.00186519657544752,"Up","C330018D20Rik"
"ENSMUSG00000045464",170.716405641989,0.601385867829914,0.230853901187054,0.00245612379624595,0.00978954889929418,"Up",NA
"ENSMUSG00000027381",804.032323780139,0.600811124984811,0.190851489085768,0.000442770539244943,0.00220240088260148,"Up","Bcl2l11"
