"ENSEMBL","baseMean","log2FoldChange","lfcSE","pvalue","padj","Direction","SYMBOL"
"ENSMUSG00000031673",65.3455748507659,1.22269475247243,0.607665790866229,0.000559619228388296,0.00856848767766179,"Up","Cdh11"
"ENSMUSG00000103765",9.63554913447607,1.22249659365024,1.35220889347733,0.00346640743621677,0.0350744457982674,"Up",NA
"ENSMUSG00000026211",536.963517644988,1.22221121108108,0.210269579160198,3.70535930491636e-10,3.26701781979734e-08,"Up","Obsl1"
"ENSMUSG00000081739",24.4675164435013,1.22199425974616,0.688835983094454,0.000917798964729552,0.0128339102565765,"Up",NA
"ENSMUSG00000032332",263.289889576392,1.22149904115962,0.398995683273576,4.25783451044414e-05,0.00103310000044505,"Up","Col12a1"
"ENSMUSG00000074978",33.9386203644891,1.22056985253937,0.667333338992338,0.000823186515803644,0.0117762918668113,"Up","Actg-ps1"
"ENSMUSG00000027702",62.8196615157378,1.21956184509766,0.496811501451567,0.000205826067725207,0.0038746719880703,"Up","Lrrc34"
"ENSMUSG00000007817",872.762532379944,1.21659760739647,0.156795739200107,6.15678990561293e-16,1.26663736454999e-13,"Up","Zmiz1"
"ENSMUSG00000069265",646.283602052048,1.21653077283892,0.286299311386429,7.90317016926608e-07,3.27261944293475e-05,"Up","H3c1"
"ENSMUSG00000057751",195.504211092756,1.21106829345597,0.295240772957372,1.40604915768493e-06,5.39964537266797e-05,"Up","Megf6"
"ENSMUSG00000030352",1519.80550028466,1.21055302710892,0.230358882878865,7.95194938264202e-09,5.32636774927252e-07,"Up","Tspan9"
"ENSMUSG00000042195",1028.05758727542,1.20942754067064,0.171740808380062,1.32199795356086e-13,1.95821891155454e-11,"Up","Slc35f2"
"ENSMUSG00000021069",169.077291525249,1.20869286490714,0.639684399121498,0.000740662399508372,0.0108410224280384,"Up","Pygl"
"ENSMUSG00000048758",1492.77701178798,1.20786684914344,0.233360930988005,1.19381406810667e-08,7.69802195857245e-07,"Up","Rpl29"
"ENSMUSG00000025650",217.613734377534,1.2071601935686,0.324961596315967,5.69178351221329e-06,0.000182376282081079,"Up","Col7a1"
"ENSMUSG00000031548",507.982331119896,1.20466951404999,0.319821361336828,4.76838391841437e-06,0.000156860466920225,"Up","Sfrp1"
"ENSMUSG00000073164",143.473742012628,1.20300384496493,0.40855235379483,5.97863081712462e-05,0.0013764546062338,"Up","2410018L13Rik"
"ENSMUSG00000073164",143.473742012628,1.20300384496493,0.40855235379483,5.97863081712462e-05,0.0013764546062338,"Up","Gm38699"
"ENSMUSG00000021054",167.524096543285,1.20267078993866,0.362585685047396,2.04824286342231e-05,0.000549064648455358,"Up","Sgpp1"
"ENSMUSG00000003948",357.824392854316,1.19692163394056,0.211523490671327,9.08110049634711e-10,7.35625897082218e-08,"Up","Mmd"
"ENSMUSG00000064080",389.142504541042,1.19596923705281,0.274225075247622,5.05382941324427e-07,2.20177085798518e-05,"Up","Fbln2"
"ENSMUSG00000027546",462.988943180128,1.1947042325519,0.275236343657703,5.50187497347932e-07,2.38096165379851e-05,"Up","Atp9a"
"ENSMUSG00000024180",220.36126785809,1.19287133648724,0.297494633481692,2.0028451270695e-06,7.30207473753806e-05,"Up","Pgap6"
"ENSMUSG00000019564",612.665859057543,1.19215918995151,0.225198470132089,6.56123083657371e-09,4.46404791983369e-07,"Up","Arid3a"
"ENSMUSG00000037428",234.607010365746,1.19137550825706,0.317305292433813,4.99780529818302e-06,0.000163857594795166,"Up","Vgf"
"ENSMUSG00000028619",206.986790631316,1.19087858712535,0.225968124810482,7.42419066829045e-09,4.9986979351539e-07,"Up","Tceanc2"
"ENSMUSG00000095562",289.499383037813,1.19006365571251,0.290250508097569,1.42577514263083e-06,5.45117157039476e-05,"Up","Erdr1"
"ENSMUSG00000044006",84.8457686753213,1.18837597179532,0.60701109613322,0.000662200421078566,0.00985393760918403,"Up","Cilp2"
"ENSMUSG00000025402",110.000459349413,1.18795416003145,0.308913127608446,3.64084294257877e-06,0.000124673620551555,"Up","Nab2"
"ENSMUSG00000095115",357.274029232764,1.18649661683375,0.175776151423954,1.03042227285044e-12,1.29036744718981e-10,"Up","Itpripl2"
"ENSMUSG00000018822",60.573600864161,1.18578434110782,0.890135620836113,0.00220797107886576,0.0248605728186763,"Up","Sfrp5"
"ENSMUSG00000051000",67.9755981251643,1.1855979853973,0.481904347826775,0.000211644131252582,0.0039640456433016,"Up","Fhip1a"
"ENSMUSG00000039542",353.421807081636,1.18548412601742,0.26038200006777,2.25560905049816e-07,1.06502546096563e-05,"Up","Ncam1"
"ENSMUSG00000027907",505.948355813674,1.18508479982596,0.241442860430875,4.48458331791649e-08,2.52716019058764e-06,"Up","S100a11"
"ENSMUSG00000111205",17.570572665745,1.18460570090305,0.834300833789861,0.00190598001020072,0.0223560243549426,"Up","Gm39307"
"ENSMUSG00000026042",347.167644993087,1.1822100831579,0.542810481572765,0.000411921534152868,0.00675707748980067,"Up","Col5a2"
"ENSMUSG00000078915",51.3130611470755,1.18045930493372,0.784026708550041,0.00164749196384959,0.0201160088021239,"Up",NA
"ENSMUSG00000018398",575.607755598566,1.1803525350305,0.240945346052417,4.69780433846431e-08,2.63016164280069e-06,"Up","Septin8"
"ENSMUSG00000031189",36.5982576858642,1.18027944265253,0.731611917345364,0.00134792478484258,0.0172462518621369,"Up","Aff2"
"ENSMUSG00000042988",16.7275294989093,1.18027873179184,0.838562052909486,0.00196265217519716,0.0228423874049186,"Up","Notum"
"ENSMUSG00000085148",89.1561034635991,1.1794437455288,0.314303674291908,5.05642559140583e-06,0.000165495788106593,"Up","Mir22hg"
"ENSMUSG00000015846",306.284998469363,1.17718969230817,0.208213299235883,9.42693509802258e-10,7.58897551586774e-08,"Up","Rxra"
"ENSMUSG00000021763",325.527375531464,1.17649714767675,0.237914664479638,3.77291221474963e-08,2.14948198748879e-06,"Up","Cspg4b"
"ENSMUSG00000023043",3054.11692539845,1.17535348260885,0.251334745745085,1.31120467488439e-07,6.52380951676644e-06,"Up","Krt18"
"ENSMUSG00000017009",2550.63488022165,1.17472239828155,0.230822282360977,1.86748850419976e-08,1.14172257089307e-06,"Up","Sdc4"
"ENSMUSG00000046245",34.0385925568332,1.17243158741862,0.83324861417684,0.00199218627488862,0.0231161381457757,"Up","Pilra"
"ENSMUSG00000027840",32.9702780431441,1.17040961060052,0.625214866541954,0.00081626996550956,0.0117031803351432,"Up","Wnt2b"
"ENSMUSG00000029484",413.97295899677,1.16858114094909,0.298311284355713,2.83124873663941e-06,9.94584645956682e-05,"Up","Anxa3"
"ENSMUSG00000031434",1003.73047621451,1.16450606478287,0.341941635977092,1.59226414316379e-05,0.000442861278101843,"Up","Morc4"
