"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"pESC only","GO:0060382","regulation of DNA strand elongation","8/2967","18/23189",0.444444444444444,3.47361719656967,4.02137636766922,0.000943739148188052,0.0259584162935036,0.0227720068376094,"ENSMUSG00000037570/ENSMUSG00000024174/ENSMUSG00000047989/ENSMUSG00000034154/ENSMUSG00000027671/ENSMUSG00000029676/ENSMUSG00000030079/ENSMUSG00000003868",8
"pESC only","GO:1902749","regulation of cell cycle G2/M phase transition","29/2967","125/23189",0.232,1.81322817660937,3.49203409531542,0.000948355773365332,0.0259584162935036,0.0227720068376094,"ENSMUSG00000041498/ENSMUSG00000052534/ENSMUSG00000019942/ENSMUSG00000020897/ENSMUSG00000007646/ENSMUSG00000018669/ENSMUSG00000017499/ENSMUSG00000017146/ENSMUSG00000059060/ENSMUSG00000033713/ENSMUSG00000022292/ENSMUSG00000022314/ENSMUSG00000023067/ENSMUSG00000003541/ENSMUSG00000055817/ENSMUSG00000027330/ENSMUSG00000027933/ENSMUSG00000053819/ENSMUSG00000028587/ENSMUSG00000042489/ENSMUSG00000028999/ENSMUSG00000052139/ENSMUSG00000061288/ENSMUSG00000041560/ENSMUSG00000107068/ENSMUSG00000070348/ENSMUSG00000031835/ENSMUSG00000032113/ENSMUSG00000042903",29
"pESC only","GO:0033673","negative regulation of kinase activity","40/2967","190/23189",0.210526315789474,1.64539761942774,3.42159063835541,0.000951777525845705,0.0259584162935036,0.0227720068376094,"ENSMUSG00000055067/ENSMUSG00000015312/ENSMUSG00000009073/ENSMUSG00000018669/ENSMUSG00000038453/ENSMUSG00000078656/ENSMUSG00000043372/ENSMUSG00000018411/ENSMUSG00000001729/ENSMUSG00000021326/ENSMUSG00000021453/ENSMUSG00000022178/ENSMUSG00000021959/ENSMUSG00000022114/ENSMUSG00000004069/ENSMUSG00000023826/ENSMUSG00000024006/ENSMUSG00000023067/ENSMUSG00000024427/ENSMUSG00000038155/ENSMUSG00000058216/ENSMUSG00000026842/ENSMUSG00000027001/ENSMUSG00000032715/ENSMUSG00000027487/ENSMUSG00000017734/ENSMUSG00000028048/ENSMUSG00000028458/ENSMUSG00000044813/ENSMUSG00000037443/ENSMUSG00000029223/ENSMUSG00000004951/ENSMUSG00000039737/ENSMUSG00000036390/ENSMUSG00000002985/ENSMUSG00000040525/ENSMUSG00000037049/ENSMUSG00000030793/ENSMUSG00000031628/ENSMUSG00000032604",40
"pESC only","GO:1901991","negative regulation of mitotic cell cycle phase transition","40/2967","190/23189",0.210526315789474,1.64539761942774,3.42159063835541,0.000951777525845705,0.0259584162935036,0.0227720068376094,"ENSMUSG00000097993/ENSMUSG00000026683/ENSMUSG00000039981/ENSMUSG00000019942/ENSMUSG00000020897/ENSMUSG00000017561/ENSMUSG00000010342/ENSMUSG00000018669/ENSMUSG00000017499/ENSMUSG00000017146/ENSMUSG00000017716/ENSMUSG00000033713/ENSMUSG00000017843/ENSMUSG00000053216/ENSMUSG00000022314/ENSMUSG00000023067/ENSMUSG00000003541/ENSMUSG00000024660/ENSMUSG00000005233/ENSMUSG00000025764/ENSMUSG00000027933/ENSMUSG00000028587/ENSMUSG00000028680/ENSMUSG00000042489/ENSMUSG00000028999/ENSMUSG00000052139/ENSMUSG00000061288/ENSMUSG00000029414/ENSMUSG00000029910/ENSMUSG00000041560/ENSMUSG00000062132/ENSMUSG00000025507/ENSMUSG00000070348/ENSMUSG00000031835/ENSMUSG00000052934/ENSMUSG00000074476/ENSMUSG00000032113/ENSMUSG00000036986/ENSMUSG00000036781/ENSMUSG00000042903",40
"pESC only","GO:0070585","protein localization to mitochondrion","26/2967","108/23189",0.240740740740741,1.88154264814191,3.51727448095942,0.000953716532137693,0.0259584162935036,0.0227720068376094,"ENSMUSG00000026172/ENSMUSG00000026150/ENSMUSG00000037012/ENSMUSG00000018411/ENSMUSG00000001729/ENSMUSG00000022285/ENSMUSG00000022427/ENSMUSG00000033918/ENSMUSG00000023826/ENSMUSG00000024012/ENSMUSG00000027076/ENSMUSG00000027282/ENSMUSG00000018322/ENSMUSG00000037161/ENSMUSG00000028998/ENSMUSG00000029524/ENSMUSG00000019054/ENSMUSG00000002984/ENSMUSG00000003438/ENSMUSG00000030615/ENSMUSG00000002949/ENSMUSG00000048429/ENSMUSG00000005131/ENSMUSG00000036932/ENSMUSG00000002015/ENSMUSG00000081044",26
"pESC only","GO:0065004","protein-DNA complex assembly","37/2967","172/23189",0.215116279069767,1.68127111403736,3.4350906773565,0.00095693453496657,0.0259584162935036,0.0227720068376094,"ENSMUSG00000055067/ENSMUSG00000019984/ENSMUSG00000047514/ENSMUSG00000013833/ENSMUSG00000121803/ENSMUSG00000018923/ENSMUSG00000007646/ENSMUSG00000018160/ENSMUSG00000017210/ENSMUSG00000025144/ENSMUSG00000059669/ENSMUSG00000020628/ENSMUSG00000002679/ENSMUSG00000058773/ENSMUSG00000036181/ENSMUSG00000049539/ENSMUSG00000021767/ENSMUSG00000037544/ENSMUSG00000022109/ENSMUSG00000022024/ENSMUSG00000023980/ENSMUSG00000053477/ENSMUSG00000003680/ENSMUSG00000025049/ENSMUSG00000054766/ENSMUSG00000038902/ENSMUSG00000091405/ENSMUSG00000048100/ENSMUSG00000028318/ENSMUSG00000028333/ENSMUSG00000028693/ENSMUSG00000066042/ENSMUSG00000029414/ENSMUSG00000066551/ENSMUSG00000031715/ENSMUSG00000006585/ENSMUSG00000031935",37
"pESC only","GO:1901136","carbohydrate derivative catabolic process","53/2967","271/23189",0.195571955719557,1.52851974424699,3.35224591353672,0.00100981120483154,0.0272736834974502,0.0239258242902192,"ENSMUSG00000064246/ENSMUSG00000037012/ENSMUSG00000033427/ENSMUSG00000034748/ENSMUSG00000020053/ENSMUSG00000020267/ENSMUSG00000060600/ENSMUSG00000017390/ENSMUSG00000004040/ENSMUSG00000017801/ENSMUSG00000025583/ENSMUSG00000039275/ENSMUSG00000021109/ENSMUSG00000002326/ENSMUSG00000033405/ENSMUSG00000022346/ENSMUSG00000022615/ENSMUSG00000033065/ENSMUSG00000023031/ENSMUSG00000003541/ENSMUSG00000052102/ENSMUSG00000048120/ENSMUSG00000036646/ENSMUSG00000027282/ENSMUSG00000074797/ENSMUSG00000027447/ENSMUSG00000027613/ENSMUSG00000027646/ENSMUSG00000069094/ENSMUSG00000028048/ENSMUSG00000028164/ENSMUSG00000028671/ENSMUSG00000055401/ENSMUSG00000028991/ENSMUSG00000029223/ENSMUSG00000029209/ENSMUSG00000029468/ENSMUSG00000036639/ENSMUSG00000038871/ENSMUSG00000009112/ENSMUSG00000040627/ENSMUSG00000023456/ENSMUSG00000057666/ENSMUSG00000036427/ENSMUSG00000005686/ENSMUSG00000030695/ENSMUSG00000042462/ENSMUSG00000031842/ENSMUSG00000025236/ENSMUSG00000036091/ENSMUSG00000034160/ENSMUSG00000062070/ENSMUSG00000031266",53
"pESC only","GO:0000086","G2/M transition of mitotic cell cycle","32/2967","143/23189",0.223776223776224,1.74895411295816,3.44115168030781,0.00102631080936004,0.0275993192543054,0.0242114880841053,"ENSMUSG00000041498/ENSMUSG00000052534/ENSMUSG00000019942/ENSMUSG00000020897/ENSMUSG00000020525/ENSMUSG00000007646/ENSMUSG00000018669/ENSMUSG00000017499/ENSMUSG00000017146/ENSMUSG00000017716/ENSMUSG00000059060/ENSMUSG00000033713/ENSMUSG00000054115/ENSMUSG00000022292/ENSMUSG00000022314/ENSMUSG00000023067/ENSMUSG00000003541/ENSMUSG00000055817/ENSMUSG00000027330/ENSMUSG00000027933/ENSMUSG00000053819/ENSMUSG00000028587/ENSMUSG00000042489/ENSMUSG00000028970/ENSMUSG00000028999/ENSMUSG00000052139/ENSMUSG00000061288/ENSMUSG00000041560/ENSMUSG00000070348/ENSMUSG00000031835/ENSMUSG00000032113/ENSMUSG00000042903",32
"pESC only","GO:0001578","microtubule bundle formation","33/2967","149/23189",0.221476510067114,1.73098038151207,3.42875129050769,0.00104284477811238,0.0279008108530925,0.0244759714282136,"ENSMUSG00000047021/ENSMUSG00000064302/ENSMUSG00000078970/ENSMUSG00000020930/ENSMUSG00000034706/ENSMUSG00000033987/ENSMUSG00000041323/ENSMUSG00000052727/ENSMUSG00000037617/ENSMUSG00000022388/ENSMUSG00000003354/ENSMUSG00000035578/ENSMUSG00000071550/ENSMUSG00000033949/ENSMUSG00000006435/ENSMUSG00000026831/ENSMUSG00000043020/ENSMUSG00000061322/ENSMUSG00000078490/ENSMUSG00000040473/ENSMUSG00000039765/ENSMUSG00000043036/ENSMUSG00000025857/ENSMUSG00000056832/ENSMUSG00000073096/ENSMUSG00000048794/ENSMUSG00000040866/ENSMUSG00000053158/ENSMUSG00000031755/ENSMUSG00000002031/ENSMUSG00000010044/ENSMUSG00000040936/ENSMUSG00000073077",33
"pESC only","GO:0044818","mitotic G2/M transition checkpoint","17/2967","60/23189",0.283333333333333,2.21443096281317,3.60784934744081,0.00105489817441241,0.0279008108530925,0.0244759714282136,"ENSMUSG00000019942/ENSMUSG00000018669/ENSMUSG00000017499/ENSMUSG00000017146/ENSMUSG00000033713/ENSMUSG00000023067/ENSMUSG00000003541/ENSMUSG00000027933/ENSMUSG00000028587/ENSMUSG00000042489/ENSMUSG00000028999/ENSMUSG00000052139/ENSMUSG00000061288/ENSMUSG00000041560/ENSMUSG00000031835/ENSMUSG00000032113/ENSMUSG00000042903",17
"pESC only","GO:1901873","regulation of post-translational protein modification","51/2967","259/23189",0.196911196911197,1.53898676952266,3.3412142531191,0.00106205543853612,0.0279008108530925,0.0244759714282136,"ENSMUSG00000004364/ENSMUSG00000041605/ENSMUSG00000051355/ENSMUSG00000020400/ENSMUSG00000019505/ENSMUSG00000018567/ENSMUSG00000018572/ENSMUSG00000018733/ENSMUSG00000018669/ENSMUSG00000017716/ENSMUSG00000021109/ENSMUSG00000001729/ENSMUSG00000076431/ENSMUSG00000021576/ENSMUSG00000074794/ENSMUSG00000022114/ENSMUSG00000054115/ENSMUSG00000115987/ENSMUSG00000004069/ENSMUSG00000038965/ENSMUSG00000022855/ENSMUSG00000023826/ENSMUSG00000044533/ENSMUSG00000024182/ENSMUSG00000047123/ENSMUSG00000071655/ENSMUSG00000047731/ENSMUSG00000026771/ENSMUSG00000026842/ENSMUSG00000026946/ENSMUSG00000032715/ENSMUSG00000027708/ENSMUSG00000028101/ENSMUSG00000028191/ENSMUSG00000028641/ENSMUSG00000028779/ENSMUSG00000041241/ENSMUSG00000029003/ENSMUSG00000028991/ENSMUSG00000058558/ENSMUSG00000029910/ENSMUSG00000063802/ENSMUSG00000041560/ENSMUSG00000030744/ENSMUSG00000018909/ENSMUSG00000025139/ENSMUSG00000055994/ENSMUSG00000032329/ENSMUSG00000000787/ENSMUSG00000079584/ENSMUSG00000034160",51
