ENSMUSG00000068048	EpiLC Only	Unbound	Rhox9	unbiased
ENSMUSG00000071470	Brain Only	Bound	Ccnb1ip1	unbiased
ENSMUSG00000071773	EpiLC Only	Unbound	Rhox1	unbiased
ENSMUSG00000072419	EpiLC Only	Unbound	Dppa2	unbiased
ENSMUSG00000072770	EpiLC Only	Unbound	Acrbp	Sperm-biased
ENSMUSG00000073894	EpiLC Only	Bound	Rbmxl2	unbiased
ENSMUSG00000074212	EpiLC Only	Unbound	Dnajb14	unbiased
ENSMUSG00000074817	EpiLC Only	Bound	Papolb	Sperm-biased
ENSMUSG00000079022	Brain Only	Unbound	Col22a1	Sperm-biased
ENSMUSG00000079330	EpiLC Only	Unbound	Lemd1	Sperm-biased
ENSMUSG00000091614	EpiLC Only	Unbound	Tmem217	Sperm-biased
ENSMUSG00000092837	EpiLC Only	Unbound	Rpph1	Sperm-biased
