"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"exEpiLC","GO:0007292","female gamete generation","14/155","189/23189",0.0740740740740741,11.0819593787336,11.416283394745,3.73373642653279e-11,2.13534164203137e-09,1.97635371750307e-09,"ENSMUSG00000027794/ENSMUSG00000028109/ENSMUSG00000005493/ENSMUSG00000010592/ENSMUSG00000023403/ENSMUSG00000002076/ENSMUSG00000020059/ENSMUSG00000060445/ENSMUSG00000029848/ENSMUSG00000022429/ENSMUSG00000025081/ENSMUSG00000068117/ENSMUSG00000079681/ENSMUSG00000043648",14
"exEpiLC","GO:0098813","nuclear chromosome segregation","17/155","326/23189",0.0521472392638037,7.80156342766673,10.1452734662418,7.29163790039226e-11,3.98057141744141e-09,3.68419599177714e-09,"ENSMUSG00000027855/ENSMUSG00000071470/ENSMUSG00000028109/ENSMUSG00000005493/ENSMUSG00000010342/ENSMUSG00000009670/ENSMUSG00000040629/ENSMUSG00000009628/ENSMUSG00000020059/ENSMUSG00000060445/ENSMUSG00000039329/ENSMUSG00000025480/ENSMUSG00000037108/ENSMUSG00000036928/ENSMUSG00000022429/ENSMUSG00000068117/ENSMUSG00000032065",17
"exEpiLC","GO:0007131","reciprocal meiotic recombination","9/155","57/23189",0.157894736842105,23.6220713073005,14.0273623829929,1.44203719370862e-10,7.21619445685022e-09,6.67890910770309e-09,"ENSMUSG00000027855/ENSMUSG00000071470/ENSMUSG00000005493/ENSMUSG00000002076/ENSMUSG00000009670/ENSMUSG00000078653/ENSMUSG00000020059/ENSMUSG00000039329/ENSMUSG00000022429",9
"exEpiLC","GO:0140527","reciprocal homologous recombination","9/155","57/23189",0.157894736842105,23.6220713073005,14.0273623829929,1.44203719370862e-10,7.21619445685022e-09,6.67890910770309e-09,"ENSMUSG00000027855/ENSMUSG00000071470/ENSMUSG00000005493/ENSMUSG00000002076/ENSMUSG00000009670/ENSMUSG00000078653/ENSMUSG00000020059/ENSMUSG00000039329/ENSMUSG00000022429",9
"exEpiLC","GO:0035825","homologous recombination","9/155","64/23189",0.140625,21.0384072580645,13.1681610330812,4.24241589662742e-10,2.03805659673981e-08,1.88631207866886e-08,"ENSMUSG00000027855/ENSMUSG00000071470/ENSMUSG00000005493/ENSMUSG00000002076/ENSMUSG00000009670/ENSMUSG00000078653/ENSMUSG00000020059/ENSMUSG00000039329/ENSMUSG00000022429",9
"exEpiLC","GO:0007059","chromosome segregation","18/155","431/23189",0.0417633410672854,6.248065264576,9.02160128902698,7.134980855776e-10,3.2958123106873e-08,3.05042096506051e-08,"ENSMUSG00000027855/ENSMUSG00000071470/ENSMUSG00000039224/ENSMUSG00000028109/ENSMUSG00000005493/ENSMUSG00000010342/ENSMUSG00000009670/ENSMUSG00000040629/ENSMUSG00000009628/ENSMUSG00000020059/ENSMUSG00000060445/ENSMUSG00000039329/ENSMUSG00000025480/ENSMUSG00000037108/ENSMUSG00000036928/ENSMUSG00000022429/ENSMUSG00000068117/ENSMUSG00000032065",18
"exEpiLC","GO:0034587","piRNA metabolic process","6/155","21/23189",0.285714285714286,42.7447004608295,15.6992728659963,4.04193340392191e-09,1.79791185855934e-07,1.66404743646843e-07,"ENSMUSG00000030491/ENSMUSG00000023403/ENSMUSG00000040629/ENSMUSG00000021758/ENSMUSG00000025081/ENSMUSG00000043648",6
"exEpiLC","GO:0048477","oogenesis","10/155","129/23189",0.0775193798449612,11.5973993498375,9.90096027098213,1.654996399178e-08,7.0987524121885e-07,6.57021126891718e-07,"ENSMUSG00000027794/ENSMUSG00000028109/ENSMUSG00000010592/ENSMUSG00000023403/ENSMUSG00000029848/ENSMUSG00000022429/ENSMUSG00000025081/ENSMUSG00000068117/ENSMUSG00000079681/ENSMUSG00000043648",10
"exEpiLC","GO:0009994","oocyte differentiation","7/155","73/23189",0.0958904109589041,14.3458241272647,9.36835411328388,5.85845773365506e-07,2.38780279808133e-05,2.21001775255172e-05,"ENSMUSG00000027794/ENSMUSG00000010592/ENSMUSG00000023403/ENSMUSG00000022429/ENSMUSG00000025081/ENSMUSG00000079681/ENSMUSG00000043648",7
"exEpiLC","GO:0031048","heterochromatin assembly by small RNA","5/155","25/23189",0.2,29.9212903225806,11.8684418142995,5.96453654807991e-07,2.38780279808133e-05,2.21001775255172e-05,"ENSMUSG00000030491/ENSMUSG00000040629/ENSMUSG00000009628/ENSMUSG00000021758/ENSMUSG00000025081",5
