"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000000001",4234.23247812261,0.0250903723698244,0.0545831959948005,0.468371836793287,0.758063567810389
"ENSMUSG00000000003",0,0,0.661861670476434,NA,NA
"ENSMUSG00000000028",1577.55494291023,-0.0694400768579505,0.0731962965463851,0.12519138287456,0.379881767568446
"ENSMUSG00000000031",1084.45273280732,0.242471370098545,0.249021456228955,0.0333027900043757,0.15891785983191
"ENSMUSG00000000037",98.5712409963274,1.00186843999347,0.280053583176268,8.85692285154757e-06,0.000176522194621389
"ENSMUSG00000000049",0,0,0.661861670476434,NA,NA
"ENSMUSG00000000056",555.687476671109,0.0432222114188593,0.084795588275313,0.388002340549181,0.692104673853985
"ENSMUSG00000000058",14.0302143635683,0.64746069692092,0.494623577404079,0.00382405576091186,0.0314397494122461
"ENSMUSG00000000078",3223.39895054019,0.0533528941957017,0.17053237560093,0.468893877219754,0.7583902450369
"ENSMUSG00000000085",244.231345806982,0.109187917912342,0.116437197580322,0.102320873286505,0.335190027648895
"ENSMUSG00000000088",2233.1430076934,-0.0050883129065862,0.0837220812829123,0.918688592389709,0.9838247437444
"ENSMUSG00000000093",8.13538718070885,0.137706407930103,0.308813159275797,0.168455159879843,0.452161145950309
"ENSMUSG00000000094",40.869728592832,-0.0930370514603597,0.193825597627378,0.253642980975919,0.564524995911319
"ENSMUSG00000000103",2.45339398878386,0,0.388934453077676,1,1
"ENSMUSG00000000120",92.6103773702151,-0.142733720050564,0.319698097954903,0.160866425283227,0.440105289761864
"ENSMUSG00000000125",368.414483075934,0.0683542796914207,0.17827709098761,0.370280788358199,0.677388211863401
"ENSMUSG00000000126",61.2394031086775,-0.0646413938214287,0.174695341476202,0.391320874640698,0.694684629056144
"ENSMUSG00000000127",689.0961967958,0.0408378655423926,0.0917432138311148,0.442589512789374,0.737011853384078
"ENSMUSG00000000131",2733.01468216093,0.0557887451576376,0.105803253447142,0.34557239622646,0.655038722331524
"ENSMUSG00000000134",2556.9458494354,-0.0182347671251763,0.086379367760513,0.720313330690226,0.900049254865287
"ENSMUSG00000000142",590.546683883192,0.347040844707857,0.290431472084789,0.0120640293261241,0.0761152392452862
"ENSMUSG00000000148",359.116041660549,-0.10317884067716,0.152791620913197,0.176689004662487,0.464603017207175
"ENSMUSG00000000149",1040.734770905,0.0649626837788443,0.103778372272156,0.268706868750163,0.581021361279901
"ENSMUSG00000000154",36.4102932975576,0.0523475987546061,0.232350911959148,0.510221493973113,0.787014217309698
"ENSMUSG00000000157",0,0,0.661861670476434,NA,NA
"ENSMUSG00000000159",0.833257203267997,-0.0244655568899558,0.454016161759492,0.727738209617693,NA
"ENSMUSG00000000167",34.9482441353189,0.269992145753482,0.231599048786103,0.0197377697529208,0.108790072859008
"ENSMUSG00000000168",1911.28440481102,0.107486198981829,0.0839950289591292,0.0466420095871827,0.200577602418806
"ENSMUSG00000000171",3309.17674539692,0.0315854784606014,0.0824456629976934,0.519429097772709,0.793713491592704
"ENSMUSG00000000182",0.479957232118925,-0.0535420863596025,0.480102544450252,0.472083891238899,NA
"ENSMUSG00000000183",0.421657633464457,-0.0226921264447081,0.46254014110757,0.742520778213708,NA
"ENSMUSG00000000184",163.553049654068,-0.10938205668119,0.143677970101548,0.144657866440109,0.414458275263868
"ENSMUSG00000000194",1246.75599164384,0.00528224478322467,0.0506725393084961,0.872675665068042,0.967747808121581
"ENSMUSG00000000197",41.6423130767533,-0.203819624969878,0.259931178280243,0.0601800200084087,0.238853296789498
"ENSMUSG00000000202",97.1841572009575,-0.208899315800091,0.378587370165248,0.0831578445345023,0.292816861345662
"ENSMUSG00000000204",0.492023646557892,0,0.566592002718159,1,NA
"ENSMUSG00000000214",3.50100765858323,-0.112756448060237,0.429737649769685,0.239273079021049,0.54765902419727
"ENSMUSG00000000215",0,0,0.661861670476434,NA,NA
"ENSMUSG00000000216",0.498236964348404,0.0468657517347988,0.442881002264051,0.537226478839412,NA
"ENSMUSG00000000223",33.1701988612191,-0.269691912904982,0.346201003244093,0.0395225348332047,0.179420630200786
