"ENSEMBL","SYMBOL"
"ENSMUSG00000061633","Ndufb11b"
"ENSMUSG00000062939",NA
"ENSMUSG00000073460","Pnldc1"
"ENSMUSG00000074830",NA
"ENSMUSG00000000037","Scml2"
"ENSMUSG00000003824","Syce2"
"ENSMUSG00000005131","4930550C14Rik"
"ENSMUSG00000005493","Msh4"
"ENSMUSG00000010044",NA
"ENSMUSG00000011349","Dmrtc2"
"ENSMUSG00000019732","Calr3"
"ENSMUSG00000020059","Sycp3"
"ENSMUSG00000020419","Hormad2"
"ENSMUSG00000021078","Tomm20l"
"ENSMUSG00000021257","Angel1"
"ENSMUSG00000021879","Dnah12"
"ENSMUSG00000022039","Adam2"
"ENSMUSG00000022483",NA
"ENSMUSG00000022805","Cfap91"
"ENSMUSG00000024033",NA
"ENSMUSG00000024206","Rfx2"
"ENSMUSG00000024905","Tesmin"
"ENSMUSG00000025081","Tdrd1"
"ENSMUSG00000025480","Syce1"
"ENSMUSG00000025519","Tktl2"
"ENSMUSG00000026649","Cfap126"
"ENSMUSG00000027030",NA
"ENSMUSG00000027719","Adad1"
"ENSMUSG00000027793","Ccna1"
"ENSMUSG00000028264","Spaca1"
"ENSMUSG00000028610","Dmrtb1"
"ENSMUSG00000028789","Azin2"
"ENSMUSG00000029790",NA
"ENSMUSG00000031651","Triml1"
"ENSMUSG00000031898","Dpep3"
"ENSMUSG00000035491","Fthl17a"
"ENSMUSG00000035694","Caps2"
"ENSMUSG00000036598","Ccdc113"
"ENSMUSG00000036743","Psma8"
"ENSMUSG00000037418","Best1"
"ENSMUSG00000037568",NA
"ENSMUSG00000038011","Dnah10"
"ENSMUSG00000039198","Ptchd3"
"ENSMUSG00000039543","Cfap70"
"ENSMUSG00000039720","Got1l1"
"ENSMUSG00000040013","Fkbp6"
"ENSMUSG00000040473","Cfap69"
"ENSMUSG00000040812","Agbl2"
"ENSMUSG00000040828","Catsperd"
"ENSMUSG00000040829","Zmynd15"
"ENSMUSG00000041673","Lrrc18"
"ENSMUSG00000041679","Fbxl9"
"ENSMUSG00000041805","Pramel1"
"ENSMUSG00000042213","Zfand4"
"ENSMUSG00000043648","Pld6"
"ENSMUSG00000043986",NA
"ENSMUSG00000044566","Cage1"
"ENSMUSG00000046408","1700067K01Rik"
"ENSMUSG00000046942","Mageb16"
"ENSMUSG00000050050","Ccdc158"
"ENSMUSG00000050623","Catsperz"
"ENSMUSG00000051176","Zfp42"
"ENSMUSG00000051811","Cox6b2"
"ENSMUSG00000052221","Ppp1r36"
"ENSMUSG00000053153","Spag16"
"ENSMUSG00000056300","Zfp981"
"ENSMUSG00000056436","Cyct"
"ENSMUSG00000056458","Mok"
"ENSMUSG00000057719","Sh3rf2"
"ENSMUSG00000058183","Mmel1"
"ENSMUSG00000061186","Sfmbt2"
"ENSMUSG00000062939","Stat4"
"ENSMUSG00000066643","Wdr35"
"ENSMUSG00000067338","Tuba3b"
"ENSMUSG00000067702","Tuba3a"
"ENSMUSG00000068860","Gm128"
"ENSMUSG00000069041","Slc25a31"
