"ENSEMBL","baseMean.x","log2FoldChange.x","lfcSE.x","pvalue.x","padj.x","Direction.x","SYMBOL.x","tissue","keyvals","baseMean.y","log2FoldChange.y","lfcSE.y","pvalue.y","padj.y","Direction.y","SYMBOL.y"
"ENSMUSG00000057762",326.245437932066,0.877485524824629,0.242495271156711,8.38713995601567e-06,0.000140544140423071,"Up","Gm6169",NA,NA,326.245437932066,0.877485524824629,0.242495271156711,8.38713995601567e-06,0.000140544140423071,"Up","Gm6169"
"ENSMUSG00000057816",7.72226516366811,-1.99993478772629,0.911130908353162,0.000172459792597382,0.00190337729500828,"Down","Cfap299","Testis","#2a7affff",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000057829",4.82225399596963,-1.32281093985441,1.09018020669548,0.00272581004231858,0.0184783402355466,"Down",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000057836",978.198255144007,-0.887810374998669,0.392543413812687,0.000707816895903358,0.00623963317676027,"Down","Xlr3a",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000057863",3466.65589497485,-0.548126885777864,0.101818699553345,3.90346761906856e-09,1.42628283899379e-07,"Down","Rpl36",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000057880",61.059490320493,0.984036245020703,0.347467041785742,0.000123057047681757,0.0014184293862669,"Up","Abat",NA,NA,61.059490320493,0.984036245020703,0.347467041785742,0.000123057047681757,0.0014184293862669,"Up","Abat"
"ENSMUSG00000057897",316.895393230941,-1.09220086643465,0.292516312430472,5.99729383565543e-06,0.00010500186233853,"Down","Camk2b","Brain","#f75c52ff",NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000057914",23.1730798838787,-0.63349892074416,0.652861795115263,0.0226297377280771,0.0940492306927563,"Down","Cacnb2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000057948",66.8348850907367,1.50526204137206,0.287520938396453,1.00140909329825e-08,3.34603354029401e-07,"Up","Unc13d",NA,NA,66.8348850907367,1.50526204137206,0.287520938396453,1.00140909329825e-08,3.34603354029401e-07,"Up","Unc13d"
"ENSMUSG00000057963",491.929252727068,0.617406924811014,0.10507793281437,1.58711665955551e-10,7.58888039990567e-09,"Up","Itpk1",NA,NA,491.929252727068,0.617406924811014,0.10507793281437,1.58711665955551e-10,7.58888039990567e-09,"Up","Itpk1"
"ENSMUSG00000058057",11.1121635565819,-1.17655793511539,0.788330394173259,0.00248916630068235,0.017223565123958,"Down","Mettl7a3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000058064",337.6378201179,-3.54988175957644,0.476325805619763,9.10572517471556e-16,8.70789918173746e-14,"Down","Gm10036",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSMUSG00000058084",1.85578909802652,-0.64454638931546,1.23681347573812,0.0150382849902591,0.0697094853528711,"Down","Olfr825",NA,NA,NA,NA,NA,NA,NA,NA,NA
