"ENSEMBL","Sample_DEG","SYMBOL","sexBias"
"ENSMUSG00000032567","XY 5CKO and XX 5CKO","Aste1","XY"
"ENSMUSG00000032892","XX 5CKO","Rangrf","XY"
"ENSMUSG00000033255","XX 5CKO and XX 5CHET","Gm5134","XY"
"ENSMUSG00000033368","XX 5CKO","Trim69","XY"
"ENSMUSG00000033760","XX 5CHET","Rbm4b","unbiased"
"ENSMUSG00000033949","XX 5CKO","Trim36","XY"
"ENSMUSG00000034239","XX 5CHET","Gm884","XY"
"ENSMUSG00000034391","All","Fbxo15","unbiased"
"ENSMUSG00000034555","XX 5CKO","Tex16","unbiased"
"ENSMUSG00000035295","XX 5CHET","Wdr38","XY"
"ENSMUSG00000035578","XX 5CKO and XX 5CHET","Iqcg","XY"
"ENSMUSG00000035580","XX 5CKO","Kcnh8","XY"
"ENSMUSG00000035582","XX 5CKO and XX 5CHET","Gdpd4","XY"
"ENSMUSG00000036168","XX 5CKO and XX 5CHET","Ccdc38","XY"
"ENSMUSG00000036251","XX 5CKO and XX 5CHET","Trpm8","XY"
"ENSMUSG00000036398","XX 5CKO and XX 5CHET","Ppp1r11","XY"
"ENSMUSG00000036432","XY 5CKO","Siah2","XY"
"ENSMUSG00000036743","XX 5CKO and XX 5CHET","Psma8","XY"
"ENSMUSG00000036928","XX 5CKO and XX 5CHET","Stag3","unbiased"
"ENSMUSG00000037012","XY 5CKO","Hk1","XY"
"ENSMUSG00000037062","XY 5CKO","Sh3glb1","unbiased"
"ENSMUSG00000037101","XX 5CHET","Ttc29","XY"
"ENSMUSG00000037108","XX 5CHET","Zcwpw1","unbiased"
"ENSMUSG00000037622","XX 5CKO and XX 5CHET","Wdtc1","unbiased"
"ENSMUSG00000037752","XY 5CKO and XX 5CHET","Xkr8","XY"
"ENSMUSG00000037885","XX 5CKO and XX 5CHET","Stk35","unbiased"
"ENSMUSG00000038044","XX 5CHET","Cct8l1","XY"
"ENSMUSG00000038936","XY 5CKO","Sccpdh","XY"
"ENSMUSG00000039200","XX 5CHET","Atf7ip2","unbiased"
"ENSMUSG00000039209","XX 5CKO and XX 5CHET","Rpl39l","XY"
"ENSMUSG00000039224","All","D1Pas1","XY"
"ENSMUSG00000039329","All","Tex19.1","unbiased"
"ENSMUSG00000040231","XY 5CKO","Syngr4","XY"
"ENSMUSG00000040364","All","Sec1","unbiased"
"ENSMUSG00000040594","XX 5CKO and XX 5CHET","Ranbp17","XY"
"ENSMUSG00000040629","XX 5CKO and XX 5CHET","Mael","XY"
"ENSMUSG00000040726","All","Hesx1","XY"
"ENSMUSG00000041359","XY 5CKO and XX 5CHET","Tcl1","unbiased"
"ENSMUSG00000041623","XX 5CKO and XX 5CHET","D11Wsu47e","XY"
"ENSMUSG00000041805","All","Pramel1","unbiased"
"ENSMUSG00000042616","XX 5CHET","Oscp1","XY"
"ENSMUSG00000043036","XX 5CHET","Ccdc63","XY"
"ENSMUSG00000043410","XX 5CKO and XX 5CHET","Hfm1","unbiased"
"ENSMUSG00000043541","XX 5CKO and XX 5CHET","Casc1","XY"
"ENSMUSG00000044303","XY 5CKO","Cdkn2a","unbiased"
"ENSMUSG00000045004","XX 5CHET","Spata21","XY"
"ENSMUSG00000045252","XX 5CHET","Zfp574","XY"
"ENSMUSG00000045257","XX 5CKO and XX 5CHET","Morn2","XY"
"ENSMUSG00000045467","XX 5CHET","Ttll13","XY"
"ENSMUSG00000045631","XX 5CKO and XX 5CHET","Tmprss12","XY"
"ENSMUSG00000046173","XX 5CKO and XX 5CHET","Pabpc6","XY"
"ENSMUSG00000046323","All","Dppa3","unbiased"
"ENSMUSG00000046337","All","Fam178b","XY"
"ENSMUSG00000046846","XX 5CHET","Spesp1","XY"
"ENSMUSG00000046957","XX 5CHET","Spz1","XY"
"ENSMUSG00000047361","XX 5CHET","Gm973","XY"
"ENSMUSG00000047441","XX 5CKO and XX 5CHET","Antxrl","XY"
"ENSMUSG00000047674","XX 5CKO and XX 5CHET","Pdha2","XY"
"ENSMUSG00000047751","XX 5CHET","Utf1","unbiased"
"ENSMUSG00000048029","XX 5CKO and XX 5CHET","Eno4","XY"
"ENSMUSG00000048602","XX 5CKO and XX 5CHET","Morc2b","XY"
"ENSMUSG00000048787","XX 5CKO and XX 5CHET","Dcun1d3","unbiased"
"ENSMUSG00000049792","XY 5CKO and XX 5CKO","Bag5","XY"
"ENSMUSG00000050035","XX 5CHET","Fhl4","XY"
"ENSMUSG00000050050","XX 5CKO","Ccdc158","XY"
"ENSMUSG00000050197","XX 5CKO and XX 5CHET","Rhox13","unbiased"
"ENSMUSG00000050553","XX 5CKO","Gk2","XY"
"ENSMUSG00000050677","XX 5CKO and XX 5CHET","Ccdc96","XY"
"ENSMUSG00000050860","All","Phospho1","XY"
"ENSMUSG00000050945","XX 5CKO","Zfp438","unbiased"
"ENSMUSG00000051176","XY 5CKO and XX 5CHET","Zfp42","unbiased"
"ENSMUSG00000051257","All","Trap1a","unbiased"
"ENSMUSG00000051827","XX 5CKO and XX 5CHET","Rhox2a","unbiased"
"ENSMUSG00000052363","XX 5CKO","Zdhhc19","XY"
"ENSMUSG00000053111","XX 5CHET","Fank1","XY"
"ENSMUSG00000053211","XY 5CKO","Zfy1","XY"
"ENSMUSG00000053654","All","Krt42","XY"
"ENSMUSG00000053856","XX 5CHET","Dnajc5g","XY"
"ENSMUSG00000053909","All","Rhox10","XY"
"ENSMUSG00000054753","All","AU018091","unbiased"
"ENSMUSG00000055102","XX 5CKO and XX 5CHET","Zfp819","unbiased"
"ENSMUSG00000055403","XX 5CKO and XX 5CHET","4933427D06Rik","unbiased"
"ENSMUSG00000055833","XX 5CHET","1700034H15Rik","XY"
"ENSMUSG00000056436","All","Cyct","unbiased"
"ENSMUSG00000056682","XX 5CHET","4930465K10Rik","XY"
"ENSMUSG00000057132","XX 5CKO and XX 5CHET","Rpgrip1","XY"
"ENSMUSG00000057719","XY 5CKO and XX 5CHET","Sh3rf2","XY"
"ENSMUSG00000058328","XX 5CKO and XX 5CHET","Xlr5a","unbiased"
"ENSMUSG00000058550","XX 5CKO and XX 5CHET","Dppa4","unbiased"
"ENSMUSG00000058709","XX 5CHET","Egln2","XY"
"ENSMUSG00000058741","XX 5CHET","Prr19","unbiased"
"ENSMUSG00000059854","XX 5CHET","Hydin","XY"
"ENSMUSG00000059920","XX 5CKO and XX 5CHET","4930453N24Rik","XY"
"ENSMUSG00000060445","XX 5CKO","Sycp2","XY"
"ENSMUSG00000060461","XX 5CKO and XX 5CHET","Dppa5a","unbiased"
"ENSMUSG00000060499","XX 5CKO and XX 5CHET","Rpl10l","XY"
"ENSMUSG00000061882","XX 5CKO and XX 5CHET","Ccdc62","XY"
"ENSMUSG00000062170","XX 5CKO","Fmr1nb","unbiased"
"ENSMUSG00000062773","XX 5CHET","Tex101","unbiased"
"ENSMUSG00000062859","All","Tcp11","XY"
"ENSMUSG00000062939","All","Stat4","XY"
"ENSMUSG00000063972","XY 5CKO","Nr6a1","unbiased"
"ENSMUSG00000064158","XY 5CKO","Izumo1","XY"
"ENSMUSG00000066500","XX 5CKO and XX 5CHET","Izumo2","XY"
"ENSMUSG00000067702","XX 5CKO and XX 5CHET","Tuba3a","XY"
"ENSMUSG00000067764","XX 5CKO and XX 5CHET","Xlr5c","unbiased"
"ENSMUSG00000068048","All","Rhox9","unbiased"
"ENSMUSG00000069041","XX 5CKO and XX 5CHET","Slc25a31","unbiased"
"ENSMUSG00000070291","XX 5CKO and XX 5CHET","Ddx43","unbiased"
"ENSMUSG00000070563","XX 5CHET","Spaca4","XY"
"ENSMUSG00000070708","XX 5CKO and XX 5CHET","Gtsf1l","XY"
"ENSMUSG00000070732","XX 5CKO and XX 5CHET","Rbm44","XY"
"ENSMUSG00000070837","XX 5CHET","Aurkc","unbiased"
"ENSMUSG00000070999","XX 5CKO","Ccin","XY"
"ENSMUSG00000071229","XX 5CHET","Timm8a2","XY"
