"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000000001",4234.23247812261,-0.0054264691352829,0.0627650060010107,0.917128868925204,0.969827653428522
"ENSMUSG00000000003",0,0,0.574373177596317,NA,NA
"ENSMUSG00000000028",1577.55494291023,0.0958412548653976,0.0714510515508953,0.096300170896412,0.294002771661417
"ENSMUSG00000000031",1084.45273280732,0.106553736695848,0.176266423068484,0.251922503748329,0.523137112086536
"ENSMUSG00000000037",98.5712409963274,0.164629954660484,0.215588287812605,0.117799645885201,0.332930266791636
"ENSMUSG00000000049",0,0,0.574373177596317,NA,NA
"ENSMUSG00000000056",555.687476671109,-0.239563877834043,0.12009298334353,0.00685760268300271,0.0450315122101552
"ENSMUSG00000000058",14.0302143635683,0.0795681341982452,0.267942925966076,0.39967915890711,0.668457958084422
"ENSMUSG00000000078",3223.39895054019,-0.0193541446136974,0.172912111694237,0.820430107292877,0.928966328393698
"ENSMUSG00000000085",244.231345806982,0.189119901239765,0.123314402919487,0.0288898667060031,0.131658505621931
"ENSMUSG00000000088",2233.1430076934,-0.0636417340999669,0.106478757803656,0.39104614399152,0.661021301597223
"ENSMUSG00000000093",8.13538718070885,0.0307177232522398,0.240621791396643,0.72648502265712,0.879780003113197
"ENSMUSG00000000094",40.869728592832,0.0293182180612345,0.163548567540146,0.730334152572774,0.881435723966115
"ENSMUSG00000000103",2.45339398878386,-0.0955037194727561,0.384550566242066,0.283859782774035,NA
"ENSMUSG00000000120",92.6103773702151,0.161640626663718,0.335837554317486,0.151917095186136,0.388411425098352
"ENSMUSG00000000125",368.414483075934,0.21903315057751,0.273269333996707,0.0692465097146374,0.238620067731405
"ENSMUSG00000000126",61.2394031086775,0.0517420884990238,0.189896430096654,0.557845096498516,0.78655333391651
"ENSMUSG00000000127",689.0961967958,0.0512193532164043,0.101842432935669,0.477688917690306,0.730364440000826
"ENSMUSG00000000131",2733.01468216093,0.080492088489853,0.116519649568195,0.304156904394153,0.578734235755232
"ENSMUSG00000000134",2556.9458494354,-0.103889261032694,0.114951235319416,0.186802572074216,0.438548944759948
"ENSMUSG00000000142",590.546683883192,-0.0434298530423837,0.157925538397264,0.610672342271305,0.817905350995425
"ENSMUSG00000000148",359.116041660549,-0.352790012086378,0.223884184448768,0.00684404999852341,0.0450026524226835
"ENSMUSG00000000149",1040.734770905,0.0021865850242896,0.0996889959491138,0.975390806026854,0.99130324333795
"ENSMUSG00000000154",36.4102932975576,0.0381527028421172,0.226198306496061,0.665835583769002,0.847172154143709
"ENSMUSG00000000157",0,0,0.574373177596317,NA,NA
"ENSMUSG00000000159",0.833257203267997,-0.031198612537862,0.412502743107528,0.633325535051712,NA
"ENSMUSG00000000167",34.9482441353189,0.100399346638604,0.203611443899845,0.290460800223641,0.564775013735544
"ENSMUSG00000000168",1911.28440481102,-0.0283595266416119,0.0681136902866673,0.608319511937521,0.816234291725659
"ENSMUSG00000000171",3309.17674539692,0.0247976622872781,0.0927339831115574,0.715527948145031,0.873418766093633
"ENSMUSG00000000182",0.479957232118925,0.0446913718994402,0.442541293915893,0.490356573847884,NA
"ENSMUSG00000000183",0.421657633464457,0.0102109442933818,0.418637785041883,0.86700733612029,NA
"ENSMUSG00000000184",163.553049654068,-0.101539018763355,0.138139132890588,0.236307917130994,0.503716630243558
"ENSMUSG00000000194",1246.75599164384,0.0477573782896926,0.0683582191474732,0.389120992208071,0.659478438341256
"ENSMUSG00000000197",41.6423130767533,-0.459795347649288,0.312529492525858,0.00503463974840736,0.0355595915242273
"ENSMUSG00000000202",97.1841572009575,-0.0494359929889856,0.230237095492125,0.581092849918187,0.800578479394437
"ENSMUSG00000000204",0.492023646557892,0,0.518550835612458,1,NA
"ENSMUSG00000000214",3.50100765858323,0.4756259098204,0.761708792870064,0.0131855130474181,0.074189915945375
"ENSMUSG00000000215",0,0,0.574373177596317,NA,NA
"ENSMUSG00000000216",0.498236964348404,0.0566186096718709,0.430712411864693,0.419319141800028,NA
"ENSMUSG00000000223",33.1701988612191,-0.117948510259253,0.241772661301278,0.240037794079696,0.50814441627332
"ENSMUSG00000000244",17.5145381019637,0.196955776826664,0.352140480195314,0.105555351702942,0.310776823818619
"ENSMUSG00000000247",25.9336560863205,0.0650633133919105,0.198988621615494,0.47058162347054,0.724794859466696
"ENSMUSG00000000248",0.163971241941674,0,0.518550835612458,1,NA
"ENSMUSG00000000253",104.943027159095,-0.0614006648295299,0.138308816155612,0.461514773499709,0.718075100165275
"ENSMUSG00000000263",2.68451773496176,0.0337929375121268,0.338940184233691,0.667842821161588,0.848217692678783
"ENSMUSG00000000266",10.810173399133,-0.0921157105030773,0.313985071037556,0.335829533703825,0.610578769765953
"ENSMUSG00000000275",1633.7089906736,0.072130410303277,0.132638711294614,0.382961654650533,0.653631530701541
"ENSMUSG00000000276",406.99291896263,0.0973995727028605,0.191061305809127,0.297617044352593,0.57098942923735
"ENSMUSG00000000278",2878.39138994331,0.120698358900804,0.134512870491799,0.160423012616065,0.401436583027047
"ENSMUSG00000000282",1022.82982559003,-0.0328525440486729,0.153062567485587,0.696511964105007,0.863881833083467
"ENSMUSG00000000290",16.5174169117667,-0.120464166583566,0.265263887376659,0.238108151875325,0.505688023529337
"ENSMUSG00000000295",572.111105558366,-0.00294340728336623,0.0873469350485598,0.964179637949112,0.987533488697704
"ENSMUSG00000000296",435.914966080351,0.351352721900797,0.151608515275529,0.00125383767776408,0.0119809060908354
"ENSMUSG00000000301",67.7007217707382,0.0800395076451029,0.168129616951101,0.370074405296909,0.642166044607776
"ENSMUSG00000000303",20829.1037746407,-0.099607731598434,0.102272219822257,0.175102948863881,0.422836826618644
"ENSMUSG00000000305",187.702096561435,-0.0798220864295257,0.195448768096068,0.384031225697908,0.654378301446703
"ENSMUSG00000000308",519.312566246387,-0.0169884231709656,0.102476193079153,0.813490169550283,0.925221307509585
"ENSMUSG00000000317",258.066786021648,0.0127698276259669,0.184842628811939,0.881438086396692,0.954973389321539
"ENSMUSG00000000318",0.343000822940538,0.000963231373896348,0.492889551902144,0.983667238481672,NA
"ENSMUSG00000000320",81.6064577476303,0.0903106733161605,0.137422723479179,0.287207118924153,0.561366217001847
"ENSMUSG00000000325",986.096056574447,-0.082419753585869,0.121338342980784,0.302838801834632,0.577013101386666
"ENSMUSG00000000326",550.563170389718,0.106853797436704,0.113120582656387,0.171447494253537,0.417781360469792
"ENSMUSG00000000339",1463.45638528938,0.0347047203263135,0.0819242159767561,0.581292440663175,0.800663135575297
"ENSMUSG00000000340",1267.55450571632,0.254803898515725,0.110848057317924,0.00286917817374801,0.0228945766120378
"ENSMUSG00000000346",1732.4340042765,0.105003641017284,0.108457479116703,0.16837109127047,0.413374184413994
"ENSMUSG00000000355",388.926111414229,0.0233096073506849,0.09044402736622,0.727946749105801,0.880134745979513
"ENSMUSG00000000359",7.87302762969341,0.109409762394027,0.264672024557522,0.273911294111922,0.546761361220478
"ENSMUSG00000000365",1850.66863711295,0.0520439092215391,0.099563450123637,0.464928425708479,0.720329208329058
"ENSMUSG00000000374",615.528619337427,0.129309657709621,0.109443232851687,0.0958127479694241,0.292926157921671
"ENSMUSG00000000378",485.024753663113,-0.0714447127449642,0.124162826866746,0.374129013772844,0.645315000864254
"ENSMUSG00000000381",0.131808834371778,0.0055435600542151,0.519350555309508,0.890847771202375,NA
"ENSMUSG00000000384",2763.63141840155,0.0224873651714588,0.0781374613294836,0.712166223481413,0.872214887133066
"ENSMUSG00000000385",51.661366552035,0.0851614557852972,0.254473240182505,0.371607893832568,0.643061118385098
"ENSMUSG00000000386",1.5671124280851,0.11542492144747,0.45554405235471,0.192061552551764,NA
"ENSMUSG00000000392",0.0330724745321121,0,0.518550835612458,1,NA
"ENSMUSG00000000394",0.0377467797879169,-0.00611903501740906,0.519524936893017,0.879625812703362,NA
"ENSMUSG00000000399",2339.99237847012,0.0969216279033015,0.0716501373984887,0.0933749487128855,0.287855331801115
"ENSMUSG00000000402",28.6886725597373,0.349245844016788,0.357631594653808,0.0228759395996158,0.11153044414002
"ENSMUSG00000000409",476.320511451045,0.397940266331096,0.158397228213893,0.000526960400153503,0.00592302246941404
"ENSMUSG00000000411",1.60994431931556,0.183383636212606,0.512608608483226,0.0920626337484957,NA
"ENSMUSG00000000416",57.4809881163334,-0.0817251670337548,0.19535586823173,0.373972626224784,0.645103626253104
"ENSMUSG00000000420",1967.31765944969,-0.282057257941682,0.114246892449783,0.00147796206574565,0.0136877396306481
"ENSMUSG00000000435",10.003282499296,0.560938836038795,0.522533383088145,0.00801596169333464,0.0510893606686855
"ENSMUSG00000000439",1195.92264549825,0.113310771393323,0.118245584004304,0.158323203455251,0.398474159520736
"ENSMUSG00000000440",0.479031271039614,0.0338671846188644,0.458915494477798,0.567874819824355,NA
"ENSMUSG00000000441",3138.07512173063,-0.118133832971672,0.0618459213691543,0.023476073725261,0.113556050095065
"ENSMUSG00000000486",1407.86466939234,0.159435489749022,0.204364382255435,0.122044067359069,0.339886932953386
"ENSMUSG00000000489",108.539114755045,0.0610034446080422,0.184437330971928,0.492382423487111,0.741354248395451
"ENSMUSG00000000530",6.50930159912513,0.100868257294648,0.331237192403999,0.297311183189296,0.570645564760021
"ENSMUSG00000000531",274.954253820665,0.19685782067385,0.191998776889948,0.0628090374312971,0.223991401168076
"ENSMUSG00000000532",785.121893105806,-0.0253592162450176,0.101081218200403,0.722933003818421,0.877678870298638
"ENSMUSG00000000538",212.341387834395,-0.0701264528997074,0.11079762778981,0.356024899925294,0.6296228281081
"ENSMUSG00000000544",550.50075518907,0.197726978168911,0.25478585048063,0.0853634728324896,0.272500299362979
"ENSMUSG00000000552",377.483487638582,0.0209343809453347,0.156126021781427,0.803406986173159,0.920061719176915
"ENSMUSG00000000555",691.377446253153,0.0582780119274624,0.145822136284847,0.490844855755448,0.739853546199741
"ENSMUSG00000000560",2.39474580323736,-0.198013105229902,0.5492963951119,0.0767613184839104,NA
"ENSMUSG00000000561",3898.8042952083,0.144061846515123,0.0843784409789276,0.0297494633927353,0.134364609085399
"ENSMUSG00000000562",0,0,0.574373177596317,NA,NA
"ENSMUSG00000000563",7759.73886777213,-0.00316975272880239,0.0859099451509616,0.961021698494592,0.986853945184357
"ENSMUSG00000000567",15.6771024301892,-0.166491061979067,0.359190211982189,0.143443548486093,0.375664839234839
"ENSMUSG00000000568",19184.4826666814,-0.0702135321921212,0.135508228608038,0.399007729775901,0.668038323618303
"ENSMUSG00000000579",370.969157311128,-1.04436574199443,0.152038492335784,8.60822292732648e-13,5.75784398819736e-11
"ENSMUSG00000000581",689.750096107486,-0.0361084086488663,0.0842278617073728,0.573173780820405,0.796227075745853
"ENSMUSG00000000594",482.531177845663,0.0921173010550749,0.163411505973134,0.30518253262746,0.579798148243698
"ENSMUSG00000000600",1350.23244958093,-0.0265016318652697,0.0686484630521013,0.633958529807409,0.829786939608636
"ENSMUSG00000000605",453.231753043951,-0.417355638419207,0.136208084116035,8.8871656744559e-05,0.00130924296176316
"ENSMUSG00000000606",0.0376082572396973,0.00554356005421511,0.519350555309508,0.890847771202375,NA
"ENSMUSG00000000617",177.194776641158,-0.0682499386081624,0.24625475057539,0.460174627251035,0.716936945588272
"ENSMUSG00000000627",35.9701115510389,0.0188749392313658,0.188657197208519,0.826223990165895,0.932246695740305
"ENSMUSG00000000628",6916.06593183107,0.0500275411477872,0.0955216778775285,0.471433844809572,0.725279911516817
"ENSMUSG00000000631",987.554192311315,0.0187281765804824,0.109136572906451,0.801296124425284,0.918692970464858
"ENSMUSG00000000632",50.1231974410797,-0.204631583662975,0.32732053702283,0.09478000636999,0.29085500023038
"ENSMUSG00000000673",2.94488050142681,-0.110422820454753,0.340942460851034,0.263355636181294,0.535618104398165
"ENSMUSG00000000682",0.614910585654549,0.0362005074998436,0.422231268300557,0.578584147537023,NA
"ENSMUSG00000000686",7.42582359527258,-0.116956719321585,0.274867611892507,0.250551863509751,0.521085552485967
"ENSMUSG00000000690",0.415462253253822,0.0238451758469362,0.518305531914573,0.597294607079509,NA
"ENSMUSG00000000693",77.4322509316311,-0.0851010768247688,0.163387384623711,0.339983809212044,0.614614637743877
"ENSMUSG00000000701",0,0,0.574373177596317,NA,NA
"ENSMUSG00000000706",4.85687999442501,0.164254474171628,0.435972905241466,0.128012233272696,0.350768607571858
"ENSMUSG00000000708",912.685988547899,-0.150721447336616,0.087948599082712,0.0276806550414588,0.127643039926301
"ENSMUSG00000000711",1349.60678949233,0.106065761290541,0.0962229402107903,0.134851490583796,0.361761042076964
"ENSMUSG00000000724",0.211820410888302,0,0.518550835612458,1,NA
"ENSMUSG00000000730",1808.76315196623,1.80173964441848,0.25201564888267,1.08906532061437e-14,9.02645748124861e-13
"ENSMUSG00000000731",267.588477838417,1.80208362122164,0.426084643767882,2.09085564683038e-07,6.05744395068808e-06
"ENSMUSG00000000732",208.146655986363,1.10345286113302,0.147741374521623,1.24659208054592e-14,1.02430107032099e-12
"ENSMUSG00000000738",1627.57876946469,-0.0641598496008726,0.116138373907914,0.408634978113792,0.67613996942828
"ENSMUSG00000000739",19.203870187122,0.0891010453881009,0.196121298664307,0.337503019511289,0.611984858574591
"ENSMUSG00000000740",52499.8421807259,-0.0135619921984755,0.0844605602442694,0.832601517979083,0.934711958759053
"ENSMUSG00000000743",2116.14995400427,0.0447091520408295,0.0955855154059248,0.519655948400895,0.760844957324598
"ENSMUSG00000000751",5622.84748985406,-0.0179115427224223,0.0589774902541904,0.718762253368237,0.875478919053345
"ENSMUSG00000000753",263.416524645027,0.925063448798807,0.310496609213442,5.24189873772298e-05,0.000821087227914653
